Key,Date,Pro,Pro Cell,Shipper,Consignee,Product,Status,Target Weight,Net Weight,Railcar 1,Batch 1,Railcar 1 Weight,Railcar 2,Batch 2,Railcar 2 Weight,Shipper Order,Customer PO#,,,,,,,,,,,,,,archive_status
TBOA 15,8/12/2024,61986,W76,BAMBERGER AMCO,"SCHOLAR CRAFT - WARRIOR, AL",INEOS L12Z-01,MOVED,48000,0,,,0,,,,,,,,,,,,,,,,,,,TRUE
TBOA 16,8/12/2024,61975,G94,CP CHEM,"SCHUETZ CONT SYS - PLAINFIELD, IN",C51301UV,Yes - On Dispatch Schedule,47000,46080,PSPX 2586,PRF611190,46080,,,,,,,,,,,,,,,,,,,TRUE
TBOA 17,8/12/2024,61901,O94,LYONDELLBASELL,"BECTON DICKINSON - BROKEN BOW, NE",PF511,Yes - On Dispatch Schedule,46000,47220,EQUX 18941,DF01BCC02,47220,,,,,,,,,,,,,,,,,,,TRUE
TBOA 18,8/12/2024,61997,W94,BAMBERGER AMCO,"VIRCO MFG CORP - CONWAY, AR",INEOS L12Z-01,Yes - On Dispatch Schedule,48000,47920,AMCX 109611,P240519M03,47920,,,,,,,,,,,,,,,,,,,TRUE
TBOA 19,8/12/2024,61938,G112,FORMOSA,"GREENSTREAK - ST LOUIS, MO",H685P,Yes - On Dispatch Schedule,45000,45540,SOXX 621226,2404621226,4260,FPAX 214581,2404214581,41280,,,,,,,,,,,,,,,,TRUE
TBOA 39,8/13/2024,61942,G4,EXXON,"CKS PKG - OMAHA, NE",AD60-005,MOVED,48000,0,,,0,,,,,,,,,,,,,,,,,,,TRUE
TBOA 40,8/13/2024,61936,O4,FORMOSA,"GREENSTREAK - ST LOUIS, MO",H685P,MOVED,45000,0,FPAX 214581,2404214581,0,,,,,,,,,,,,,,,,,,,TRUE
TBOA 41,8/13/2024,61943,W4,EXXON,"PLASTIC OMNIUM INERGY - KANSAS CITY, KS",BA46-055,Yes - On Dispatch Schedule,48000,47080,CBFX 470610,24509614,44080,XOMX 710996,24509559,3000,,,,,,,,,,,,,,,,TRUE
TBOA 42,8/13/2024,61944,G22,LYONDELLBASELL,"VENTRA - RUSSELLVILLE, KY",HIFAX TYC 1342P,MOVED,,0,,,0,,,,,,,,,,,,,,,,,,,TRUE
TBOA 43,8/13/2024,61948,O22,LYONDELLBASELL,"BECTON DICKINSON - BROKEN BOW, NE",PF511,CANCELLED,46000,0,,,0,,,,,,,,,,,,,,,,,,,TRUE
TBOA 44,8/13/2024,61949,W22,EXXON,"TOYOTA BOSHOKU - PRINCETON, IN",PP8285E1,MOVED,48000,0,ECUX 880637,24G1683A1,0,,,,,,,,,,,,,,,,,,,TRUE
TBOA 45,8/13/2024,61950,G40,LYONDELLBASELL,"FLEX N GATE PLASTICS - CHICAGO, IL",HIFAX TYC 1342P,Yes - On Dispatch Schedule,48000,47260,EQUX 23349,DE04M0602,47260,,,,,,,,,,,,,,,,,,,TRUE
TBOA 46,8/13/2024,61961,O40,LYONDELLBASELL,"AXIUM (INNOV) - NEW ALBANY, OH",RP311H,Yes - On Dispatch Schedule,47000,47060,WFRX 870850,DE30LKK01,47060,,,,,,,,,,,,,,,,,,,TRUE
TBOA 47,8/13/2024,61962,W40,LYONDELLBASELL,"FLEX N GATE PLASTICS - DANVILLE, IL",HIFAX TYC 1342P,Yes - On Dispatch Schedule,48000,48320,EQUX 23349,DE04M0602,48320,,,,,,,,,,,,,,,,,,,TRUE
TBOA 48,8/13/2024,61974,G58,CP CHEM,"ALTIUM PKG - WEST MEMPHIS, AR",9513H,CANCELLED,47000,0,,,0,,,,,,,,,,,,,,,,,,,TRUE
TBOA 49,8/13/2024,61963,O58,CP CHEM,"ALPLA - IOWA CITY, IA",9503H,MOVED,47000,0,,,0,,,,,,,,,,,,,,,,,,,TRUE
TBOA 50,8/13/2024,61964,W58,LYONDELLBASELL,"AXIUM PKG - JEFFERSON CITY, MO",LR734022,Yes - On Dispatch Schedule,48000,48120,WFRX 884598,CB124E2704,48120,,,,,,,,,,,,,,,,,,,TRUE
TBOA 51,8/13/2024,61970,G76,CP CHEM,"SCHUETZ CONT SYS - ST JOSEPH, MO",C51301UV,Yes - On Dispatch Schedule,47000,46760,PSPX 2586,PRF611190,46760,,,,,,,,,,,,,,,,,,,TRUE
TBOA 52,8/13/2024,61975,O76,CP CHEM,"SCHUETZ CONT SYS - PLAINFIELD, IN",C51301UV,MOVED,47000,0,,,0,,,,,,,,,,,,,,,,,,,TRUE
TBOA 53,8/13/2024,61976,W76,EXXON,"YANFENG - LOUISVILLE, KY",PP8285E1,Yes - On Dispatch Schedule,48000,47860,XOMX 717009,24G1683A2,18180,ECUX 880637,24G1683A1,29680,,,,,,,,,,,,,,,,TRUE
TBOA 54,8/13/2024,61977,G94,LYONDELLBASELL,"NASCOTE INDUSTRIES - NASHVILLE, IL",HIFAX TYC 1342P,Yes - On Dispatch Schedule,48000,47360,EQUX 23349,DE04M0602,47360,,,,,,,,,,,,,,,,,,,TRUE
TBOA 55,8/13/2024,61978,O94,LYONDELLBASELL,"PRAIRIE FARMS - O'FALLON, IL",LM600700,Yes - On Dispatch Schedule,48000,45780,EQUX 16447,CL424G16J2,45780,,,,,,,,,,,,,,,,,,,TRUE
TBOA 56,8/13/2024,61987,W94,OXY,"EAGLE PKG INC - EARTH CITY, MO",226FEP,CANCELLED,45000,0,OCPX 71022,5470N5B027,0,,,,,,,,,,,,,,,,,,,TRUE
TBOA 57,8/13/2024,61986,G112,ENTEC,"SCHOLAR CRAFT - WARRIOR, AL",INEOS L12Z-01,Yes - On Dispatch Schedule,48000,47980,AMCX 109611,P240519M03,47980,,,,,,,,,,,,,,,,,,,TRUE
TBOA 58,8/13/2024,61999,O112,EXXON,"NYX - NEW ALBANY, IN",PP7855E1,Yes - On Dispatch Schedule,48000,47260,ECUX 881256,24G0983A5,47260,,,,,,,,,,,,,,,,,,,TRUE
TBOA 59,8/13/2024,62035,W112,TRAFFIC TECH,"CABKA - HAZELWOOD, MO",PP PLASTIC REGRIND,,40000,0,SUPER SACKS,,0,,,,,,,,,,,,,,,,,,,TRUE
TBOA60,8/14/2024,61965,G4,EXXON,"YANFENG - LOUISVILLE, KY",PP8285E1,Yes - On Dispatch Schedule,48000,47320,ECUX 880637,24G1683A1,47320,,,,14330290,881190025,,,,,,,,,,,,,,TRUE
TBOA 61,8/14/2024,61971,O4,FORMOSA,"GREENSTREAK - ST LOUIS, MO",H685P,MOVED,45000,46740,FPAX 214581,2404214581,46740,,,,L48A016,4504684480,,,,,,,,,,,,,,TRUE
TBOA 62,8/14/2024,61972,W4,EXXON,"TOYOTA BOSHOKU - BARDSTOWN, KY",PP8285E1,Yes - On Dispatch Schedule,48000,47920,XOMX 717009,24G1683A2,47920,,,,14333648,881192759,,,,,,,,,,,,,,TRUE
TBOA 63,8/14/2024,62040,G22,EXXON,"YANFENG - LOUISVILLE, KY",PP7855E1,Yes - On Dispatch Schedule,48000,47380,ECUX 881256,24G0983A5,47380,,,,14334132,881193839,,,,,,,,,,,,,,TRUE
TBOA 64,8/14/2024,62041,O22,CP CHEM,"SCHUETZ CONT SYS - PLAINFIELD, IN",C51301UV,Yes - On Dispatch Schedule,47000,46280,SHQX 41833,PRG610750,46280,,,,81200019,4503662747,,,,,,,,,,,,,,TRUE
TBOA 65,8/14/2024,16981,W22,CP CHEM,"SCHUETZ CONT SYS - PLAINFIELD, IN",C51301UV,MOVED,47000,0,,,0,,,,81200018,4503662748,,,,,,,,,,,,,,TRUE
TBOA 66,8/14/2024,61963,G40,CP CHEM,"ALPLA - IOWA CITY, IA",9503H,Yes - On Dispatch Schedule,47000,47300,SOXX 621312,NRE120190,25840,CHVX 896527,NRE120081,21460,81199272,APO00304181,,,,,,,,,,,,,,TRUE
TBOA 67,8/14/2024,62037,O40,LYONDELLBASELL,"AXIUM PKG - JEFFERSON CITY, MO",LR734022,Yes - On Dispatch Schedule,48000,47200,WFRX 884598,CB124E2704,47200,,,,8108051394,4500032625,,,,,,,,,,,,,,TRUE
TBOA 68,8/14/2024,62038,W40,CP CHEM,"SCHUETZ CONT SYS - ST JOSEPH, MO",C51301UV,Yes - On Dispatch Schedule,47000,47160,PSPX 2586,PRF611190,24680,SHQX 41833,PRG610750,22480,81200017,4503662782,,,,,,,,,,,,,,TRUE
TBOA 69,8/14/2024,61942,G58,EXXON,"CKS PKG - OMAHA, NE",AD60-005,Yes - On Dispatch Schedule,48000,49120,XOMX 720673,24710536,49120,,,,14327380,881186113,,,,,,,,,,,,,,TRUE
TBOA 70,8/14/2024,61944,O58,LYONDELLBASELL,"VENTRA - RUSSELLVILLE, KY",HIFAX TYC 1342P,Yes - On Dispatch Schedule,STRIP OUT,44520,EQUX 23349,DE04M0602,44520,,,,8108042769,14945,,,,,,,,,,,,,,TRUE
TBOA 71,8/14/2024,62006,W58,BOORTMALT,"4 HANDS BREWING - ST LOUIS, MO",PM 2R PALE MALT,Yes - On Dispatch Schedule,48000,47920,IARX 570292,IARX570292,47920,,,,80128227,2827 BULK C: 40002727 (2024),,,,,,,,,,,,,,TRUE
TBOA 72,8/14/2024,62007,G76,K-BIN,"CHARLES INDUSTRIES - CANTON, MO",KB2971T1GRN9994,Yes - On Dispatch Schedule,38000,38380,ROIX 57311,AF240406,38380,,,,57311-2,563291,,,,,,,,,,,,,,TRUE
TBOA 73,8/14/2024,61987,O76,OXY,"EAGLE PKG INC - EARTH CITY, MO",226FEP,Yes - On Dispatch Schedule,44000,45460,OCPX 71022,5470N5B027,45460,,,,86605608,4506241946,,,,,,,,,,,,,,TRUE
TBOA74,8/15/2024,61921,G4,BAMBERGER AMCO,"BUCKEYE INTERNATIONAL- HAZELWOOD, MO",Bapolene 350F NATURAL,Yes - On Dispatch Schedule,48000,47920,UTCX 49740,8286551RL,47920,,,,101124836-01-01,4500087904,,,,,,,,,,,,,,TRUE
TBOA 75,8/15/2024,61973,O4,EXXON,"PLASTIC OMNIUM INERGY - KANSAS CITY, KS",BA46-055,Yes - On Dispatch Schedule,48000,47460,XOMX 710996,24509559,47460,,,,14333264,881192760,,,,,,,,,,,,,,TRUE
TBOA 76,8/15/2024,61984,W4,EXXON,"YANFENG - LOUISVILLE, KY",PP8285E1,Yes - On Dispatch Schedule,48000,47320,XOMX 600100,24G1481A1,1340,MBLX 53959,24G1583A2,45980,14334052,881193853,,,,,,,,,,,,,,TRUE
TBOA 77,8/15/2024,61988,G22,CP CHEM,"ALPLA - IOWA CITY, IA",9503H,Yes - On Dispatch Schedule,47000,47140,CHVX 896527,NRE120081,47140,,,,81200236,APO00304182,,,,,,,,,,,,,,TRUE
TBOA 78,8/15/2024,61989,O22,CP CHEM,"SCHUETZ CONT SYS - ST JOSEPH, MO",C51301UV,Yes - On Dispatch Schedule,47000,46200,SHQX 41833,PRG610750,46200,,,,81200247,4503662783,,,,,,,,,,,,,,TRUE
TBOA 79,8/15/2024,,W22,CP CHEM,"SCHUETZ CONT SYS - PLAINFIELD, IN",C51301UV,MOVED,47000,0,,,0,,,,81200248,4503662749,,,,,,,,,,,,,,TRUE
TBOA 80,8/15/2024,61990,G40,CP CHEM,"BECTON DICKINSON - BROKEN BOW, NE",9018,Yes - On Dispatch Schedule,47000,48780,CPCX 817083,DRF921600,48780,,,,81200249,6501240543,,,,,,,,,,,,,,TRUE
TBOA 81,8/15/2024,61991,O40,EXXON,"TG MISSOURI - PERRYVILLE, MO",PP7855E1,Yes - On Dispatch Schedule,48000,47340,ECUX 881256,24G0983A5,47340,,,,14337231,881196385,,,,,,,,,,,,,,TRUE
TBOA 82,8/15/2024,61992,W40,EXXON,"WHIRLPOOL - VICTOR, IA",PP7694E2,CANCELLED,48000,0,,,0,,,,14337249,881196388,,,,,,,,,,,,,,TRUE
TBOA 83,8/15/2024,62018,G58,CP CHEM,"SCHUETZ CONT SYS - PLAINFIELD, IN",C51301UV,Yes - On Dispatch Schedule,47000,46100,SHQX 41833,PRG610750,46100,,,,81200018,4503662748,,,,,,,,,,,,,,TRUE
TBOA 84,8/15/2024,62008,O58,LYONDELLBASELL,"NASCOTE INDUSTRIES - NASHVILLE, IL",HIFAX TYC 1342X,Yes - On Dispatch Schedule,48000,47020,EQUX 23274,DE29M0701,47020,,,,8108054890,B00901407,,,,,,,,,,,,,,TRUE
TBOA 85,8/15/2024,62000,W58,LYONDELLBASELL,"PRAIRIE FARMS - O'FALLON, IL",LM600700,Yes - On Dispatch Schedule,48000,47680,EQUX 16447,CL424G16J2,47680,,,,8108054891,LB081524,,,,,,,,,,,,,,TRUE
TBOA 86,8/15/2024,62001,G76,LYONDELLBASELL,"AXIUM PKG - JEFFERSON CITY, MO",LR734022,Yes - On Dispatch Schedule,48000,47380,WFRX 884430,CB124E2903,18280,EQUX 16311,CB124F2504,29100,8108054889,4500032625,,,,,,,,,,,,,,TRUE
TBOA 87,8/15/2024,62002,O76,BOORTMALT,"SCHLAFLY BOTTLEWORKS - MAPLEWOOD, MO",PM 2R PALE MALT,MOVED,49000,0,,,0,,,,,,,,,,,,,,,,,,,TRUE
TBOA 88,8/15/2024,62019,W76,OXY,"EAGLE PKG INC - EARTH CITY, MO",226FEP,Yes - On Dispatch Schedule,43000,42280,OCPX 71022,5470N5B027,42280,,,,86605800,4506241946,,,,,,,,,,,,,,TRUE
TBOA 89,8/15/2024,62042,G94,BAMBERGER AMCO,"B&B MOLDERS - MISHAWAKA, IN",TOTALENERGIES PP 4624WZ NATURAL,MOVED,48000,48440,FURX 873245,LP24050003,48440,,,,101213139-01,19250-BBM,,,,,,,,,,,,,,TRUE
TBOA 90,8/15/2024,61971,O94,FORMOSA,"GREENSTREAK - ST LOUIS, MO",H685P,Yes - On Dispatch Schedule,45000,46740,FPAX 214581,2404214581,46740,,,,L48A016,4504684480,,,,,,,,,,,,,,TRUE
TBOA91,8/16/2024,61966,G4,BAMBERGER AMCO,"TNT PLASTICS - PERRYVILLE, MO",BAPOLENE 133B NATURAL,Yes - On Dispatch Schedule,48000,46980,ACFX 40370,40432422,46980,,,,101093804-01-01,11455,,,,,,,,,,,,,,TRUE
TBOA 92,8/16/2024,61985,O4,LYONDELLBASELL,"VENTRA - RUSSELLVILLE, KY",HIFAX TYC 1342P,Yes - On Dispatch Schedule,48000,49260,UTCX 1535,DE05M0601,49260,,,,8108051391,14945,,,,,,,,,,,,,,TRUE
TBOA 93,8/16/2024,61993,W4,EXXON,"YANFENG - LOUISVILLE, KY",PP8285E1,Yes - On Dispatch Schedule,48000,47520,ECUX 880637,24G1683A1,37040,MBLX 53959,24G1583A2,10480,14337134,881196390,,,,,,,,,,,,,,TRUE
TBOA 94,8/16/2024,61994,G22,EXXON,"CKS PKG - OMAHA, NE",AD60-005,Yes - On Dispatch Schedule,48000,48680,XOMX 720673,24710536,48680,,,,14337257,881196384,,,,,,,,,,,,,,TRUE
TBOA 95,8/16/2024,61995,O22,CP CHEM,"SCHUETZ CONT SYS - PLAINFIELD, IN",C51301UV,MOVED,47000,0,SHQX 41833,PRG610750,,CITX 703264,PRG610740,na,81200248,4503662749,,,,,,,,,,,,,,TRUE
TBOA 96,8/16/2024,61996,W22,CP CHEM,"AXIUM PKG - JEFFERSON CITY, MO",9513H,Yes - On Dispatch Schedule,47000,46340,CPCX 816098,NRE120270,46340,,,,81200859,4500032932,,,,,,,,,,,,,,TRUE
TBOA 97,8/16/2024,62003,G40,LYONDELLBASELL,"BECTON DICKINSON - BROKEN BOW, NE",PF511,Yes - On Dispatch Schedule,46000,47120,EQUX 641112,DF01BCC07,47120,,,,8108054886,6501246893,,,,,,,,,,,,,,TRUE
TBOA 98,8/16/2024,62004,O40,LYONDELLBASELL,"PRETIUM PKG - AURORA, IL",L5840,CANCELLED,"45,000 MAX",0,,,0,,,,8108054887,920009727,,,,,,,,,,,,,,TRUE
TBOA 99,8/16/2024,62009,W40,EXXON,"TOYOTA BOSHOKU - LAWRENCEVILLE, IL",PP8285E1,CANCELLED,48000,0,,,0,,,,14339796,881200182,,,,,,,,,,,,,,TRUE
TBOA 100,8/16/2024,62010,G58,LYONDELLBASELL,"AXIUM PKG - JEFFERSON CITY, MO",LR734022,Yes - On Dispatch Schedule,48000,47620,EQUX 16311,CB124F2504,47620,,,,8108058899,4500032625,,,,,,,,,,,,,,TRUE
TBOA 101,8/16/2024,62002,O58,BOORTMALT,"SCHLAFLY BOTTLEWORKS - MAPLEWOOD, MO",PM 2R PALE MALT,Yes - On Dispatch Schedule,49000,48760,IARX 570292,IARX570292,48760,,,,80128352,ST0004364 - BULK C: 40003029 (2024),,,,,,,,,,,,,,TRUE
TBOA 102,8/16/2024,62011,W58,EXXON,"TOYOTA BOSHOKU - BARDSTOWN, KY",PP8285E1,Yes - On Dispatch Schedule,48000,49080,MBLX 53959,24G1583A2,49080,,,,14339684,881200179,,,,,,,,,,,,,,TRUE
TBOA 103,8/16/2024,62012,G76,LYONDELLBASELL,"NASCOTE INDUSTRIES - NASHVILLE, IL",HIFAX TYC 1342P,Yes - On Dispatch Schedule,48000,47620,UTCX 1535,DE05M0601,47620,,,,8108058902,B00901407,,,,,,,,,,,,,,TRUE
TBOA 104,8/16/2024,62013,O76,LYONDELLBASELL,"HILAND DAIRY - KANSAS CITY, MO",LM600700,Yes - On Dispatch Schedule,48000,46720,EQUX 16447,CL424G16J2,46720,,,,8108058903,10624,,,,,,,,,,,,,,TRUE
TBOA 105,8/16/2024,61959,W76,FORMOSA,"GREENSTREAK - ST LOUIS, MO",H685P,Yes - On Dispatch Schedule,45000,47780,FPAX 214581,2404214581,47780,,,,L48A015,4504684480,,,,,,,,,,,,,,TRUE
TBOA 106,8/16/2024,62020,G94,OXY,"EAGLE PKG INC - EARTH CITY, MO",226FEP,Yes - On Dispatch Schedule,STRIP OUT,42660,OCPX 71022,5470N5B027,42660,,,,86606055,4506241946,,,,,,,,,,,,,,TRUE
TBOA 107,8/16/2024,62021,O94,K-BIN,"CHARLES INDUSTRIES - CANTON, MO",T23GRN9994,MOVED,44000,0,ROIX 57160,A2240605,0,,,,57160-1,563289,,,,,,,,,,,,,,TRUE
TBOA 108,8/16/2024,62042,W94,BAMBERGER AMCO,"B&B MOLDERS - MISHAWAKA, IN",TOTALENERGIES PP 4624WZ NATURAL,Yes - On Dispatch Schedule,48000,48440,FURX 873245,LP24050003,48440,,,,101213139-01,19250-BBM,,,,,,,,,,,,,,TRUE
TBOA109,8/17/2024,62059,O4,LYONDELLBASELL,"GRAHAM PKG - LAKELAND, FL",RP311H,Yes - On Dispatch Schedule,47000,49760,MLLX 10191,DE31LKK03,49760,,,,8108071523,8800315554,,,,,,,,,,,,,,TRUE
TBOA110,8/18/2024,62022,G4,OXY,"EAGLE PKG INC - EARTH CITY, MO",226FEP,Yes - On Dispatch Schedule,47000,48160,OCPX 70401,5470N4B197,48160,,,,86606056,4506241946,,,,,,,,,,,,,,TRUE
TBOA111,8/19/2024,62014,G4,EXXON,"YANFENG - LOUISVILLE, KY",PP8285E1,CANCELLED,48000,0,,,0,,,,14339780,881200185,,,,,,,,,,,,,,TRUE
TBOA 112,8/19/2024,62015,O4,EXXON,"PLASTIC OMNIUM INERGY - KANSAS CITY, KS",BA46-055,CANCELLED,48000,46380,XOMX 710996,24509559,46380,,,,14339797,881200178,,,,,,,,,,,,,,TRUE
TBOA 113,8/19/2024,62016,W4,EXXON,"EPC - LEBANON, KY",PP7855E1,Yes - On Dispatch Schedule,48000,47540,ECUX 881256,24G0983A5,12280,EPAX 845090,24G0983A6,35260,14339816,881200183,,,,,,,,,,,,,,TRUE
TBOA 114,8/19/2024,62023,G22,FORMOSA,"GREENSTREAK - ST LOUIS, MO",H685P,Yes - On Dispatch Schedule,45000,46320,FPAX 214581,2404214581,46320,,,,L48A018,4504684480,,,,,,,,,,,,,,TRUE
TBOA 115,8/19/2024,62024,O22,EXXON,"WHIRLPOOL - WEST BRANCH, IA",PP7694E2,CANCELLED,48000,0,,,0,,,,14343992,881205750,,,,,,,,,,,,,,TRUE
TBOA 116,8/19/2024,62025,W22,EXXON,"TOYOTA BOSHOKU - BARDSTOWN, KY",PP8285E1,Yes - On Dispatch Schedule,48000,46980,MBLX 53959,24G1583A2,46980,,,,14344086,881205751,,,,,,,,,,,,,,TRUE
TBOA 117,8/19/2024,61949,G40,EXXON,"TOYOTA BOSHOKU - PRINCETON, IN",PP8285E1,Yes - On Dispatch Schedule,48000,49280,MBLX 53959,24G1583A2,49280,,,,14344114,881205283,,,,,,,,,,,,,,TRUE
TBOA 118,8/19/2024,62030,O40,LYONDELLBASELL,"BECTON DICKINSON - BROKEN BOW, NE",PF511,CANCELLED,46000,0,EQUX 641112,DF01BCC07,0,,,,8108063476,6501246893,,,,,,,,,,,,,,TRUE
TBOA 119,8/19/2024,62031,W40,LYONDELLBASELL,"VENTRA - KANSAS CITY, KS",HIFAX TYC 1168P 848,CANCELLED,,0,,,0,,,,8108063479,51370,,,,,,,,,,,,,,TRUE
TBOA 120,8/19/2024,62043,G58,LYONDELLBASELL,"AXIUM PKG - JEFFERSON CITY, MO",LR734022,Yes - On Dispatch Schedule,48000,47760,EQUX 16311,CB124F2504,47760,,,,8108067516,4500032625,,,,,,,,,,,,,,TRUE
TBOA 121,8/19/2024,62044,O58,CP CHEM,"SCHUETZ CONT SYS - ST JOSEPH, MO",C51301UV,Yes - On Dispatch Schedule,47000,46860,CITX 703264,PRG610740,46860,,,,81202485,4503662784,,,,,,,,,,,,,,TRUE
TBOA 122,8/19/2024,62032,W58,LYONDELLBASELL,"DEE ZEE INC - WEST DES MOINES, IA",HIFAX TRC 779P 848,Yes - On Dispatch Schedule,STRIP OUT,46080,NRLX 62000,DE12T0601,46080,,,,8108063483,47000004037,,,,,,,,,,,,,,TRUE
TBOA 123,8/19/2024,62054,G76,OXY,"EAGLE PKG INC - EARTH CITY, MO",226FEP,Yes - On Dispatch Schedule,46000,47380,OCPX 70401,5470N4B197,47380,,,,86607141,4506241946,,,,,,,,,,,,,,TRUE
TBOA 124,8/19/2024,62059,O76,LYONDELLBASELL,"GRAHAM PKG - LAKELAND, FL",RP311H,MOVED,47000,49760,MLLX 10191,DE31LKK03,49760,,,,8108071523,8800315554,,,,,,,,,,,,,,TRUE
TBOA 125,8/19/2024,61995,W76,CP CHEM,"SCHUETZ CONT SYS - PLAINFIELD, IN",C51301UV,Yes - On Dispatch Schedule,47000,45000,SHQX 41833,PRG610750,23540,CITX 703264,PRG610740,21460,81200248,4503662749,,,,,,,,,,,,,,TRUE
TBOA 126,8/19/2024,62060,G94,LYONDELLBASELL,"GRAHAM PKG - LAKELAND, FL",RP311H,Yes - On Dispatch Schedule,47000,47160,MLLX 10191,DE31LKK03,47160,,,,8108071529,8800315555,,,,,,,,,,,,,,TRUE
TBOA 127,8/19/2024,62079,O94,LYONDELLBASELL,"GRAHAM PKG - LAKELAND, FL",RP311H,Yes - On Dispatch Schedule,47000,47500,MLLX 26554,DF01LKK05,47500,,,,8108074477,8800315777,,,,,,,,,,,,,,TRUE
TBOA128,8/20/2024,62026,G4,EXXON,"TOYOTA BOSHOKU - SCOTTSBURG, IN",PP7855E1,Yes - On Dispatch Schedule,48000,47520,EPAX 845090,24G0983A6,47520,,,,14344087,881205749,,,,,,,,,,,,,,TRUE
TBOA 129,8/20/2024,62027,O4,EXXON,"YANFENG - LOUISVILLE, KY",PP8285E1,Yes - On Dispatch Schedule,48000,48440,MBLX 53959,24G1583A2,6720,ECUX 880703,24G1481A7,41720,14344078,881205746,,,,,,,,,,,,,,TRUE
TBOA 130,8/20/2024,62028,W4,EXXON,"YANFENG - LOUISVILLE, KY",PP7855E1,CANCELLED,48000,0,,,0,,,,14344095,881205748,,,,,,,,,,,,,,TRUE
TBOA 131,8/20/2024,62033,G22,LYONDELLBASELL,"VENTRA - RUSSELLVILLE, KY",HIFAX TYC 1342P,Yes - On Dispatch Schedule,47000,47920,UTCX 1535,DE05M0601,47920,,,,8108063485,14945,,,,,,,,,,,,,,TRUE
